x eth etuk litearcad arcaddv pr js jmm acd acdpk
50 0.0001 0.0001 0.0089 0.0898 4.5 3.217 0.0998 0.0283 0.0596
100 0.0003 0.0003 0.0173 0.176 8.9 6.656 0.199 0.0565 0.117
200 0.0006 0.0006 0.0363 0.456 18.7 12.343 0.394 0.111 0.235
300 0.0010 0.0010 0.0500 0.701 27.7 20.338 0.612 0.164 0.356
400 0.0012 0.0013 0.0661 0.858 38.1 26.564 0.862 0.226 0.472
500 0.0014 0.0015 0.0899 0.981 45.1 31.485 1.035 0.280 0.599
600 0.0016 0.0016 0.105 1.200 56.4 38.999 1.365 0.340 0.710
700 0.0019 0.0019 0.113 1.294 65.5 45.183 1.617 0.399 0.831
800 0.0022 0.0023 0.136 1.389 73.3 53.249 1.848 0.508 1.043
900 0.0025 0.0028 0.152 1.459 86.3 58.065 2.081 0.517 1.176
