x eth etuk litearcad arcaddv pr js jmm acd acdpk
50 0.0001 0.0001 0.0060 0.0481 15.052 23.084 0.119 0.0099 0.0424
100 0.0003 0.0003 0.0121 0.113 61.132 87.370 0.311 0.0204 0.0808
200 0.0006 0.0006 0.0240 0.256 250.773 382.419 0.791 0.0403 0.167
300 0.0010 0.0010 0.0362 0.314 512.437 782.271 1.496 0.0700 0.246
400 0.0012 0.0013 0.0509 0.426 1043.941 1672.80 2.421 0.0937 0.339
500 0.0014 0.0015 0.0605 0.677 1849.874 2640.221 3.608 0.128 0.424
600 0.0016 0.0016 0.0722 0.691 2449.326 3691.952 5.770 0.179 0.604
700 0.0019 0.0019 0.0849 0.749 3149.923 5413.832 7.148 0.197 0.740
800 0.0022 0.0023 0.0967 0.901 4587.11 7192.012 9.172 0.252 0.801
900 0.0025 0.0028 0.109 1.089 5897.349 9087.283 11.411 0.284 0.920

