x eth etuk litearcad arcaddv pr js jmm acd acdpk
50 0.0001 0.0001 0.0070 0.0686 3.8 8.024 0.0943 0.0102 0.0451
100 0.0003 0.0003 0.0143 0.139 7.6 27.096 0.189 0.0205 0.109
200 0.0006 0.0006 0.0303 0.386 15.4 98.21 0.425 0.0446 0.159
300 0.0010 0.0010 0.0506 0.531 23.1 233.751 0.694 0.0725 0.238
400 0.0012 0.0013 0.0645 0.896 33.4 521.11 0.854 0.0992 0.325
500 0.0014 0.0015 0.0923 1.210 39.2 1044.091 1.166 0.127 0.498
600 0.0016 0.0016 0.104 1.754 47.1 2168.099 1.377 0.170 0.571
700 0.0019 0.0019 0.118 1.89 55.8 3783.724 1.675 0.219 0.685
800 0.0022 0.0023 0.135 2.01 66.3 5688.493 2.036 0.263 0.727
900 0.0025 0.0028 0.164 2.544 75.1 9235.921 2.319 0.308 0.891
